title,artist,year,type,latitude,longitude
Francisco de Miranda,Lorenzo Gonzalez,1977,Mural/Public Art,39.958945,-75.172675
Francisville,,,Mural/Public Art,39.971050,-75.167475
Franklin Square Fountain,,1838,Mural/Public Art,39.955650,-75.150450
Franz Schubert,Henry Baerer,1891,Mural/Public Art,39.983550,-75.209125
Fred Shero,Chad Fisher,2014,Mural/Public Art,39.904535,-75.168850
Free Interpretation of Plant Forms,Harry Bertoia,1967,Mural/Public Art,40.082985,-75.220250
From River to Sea and Back,,2014,Mural/Public Art,39.932250,-75.140500
The Funder,Tonnie Jones,1971,Mural/Public Art,39.962800,-75.214900
Galapagos Tortoise,Eric Berg,1979,Mural/Public Art,39.941060,-75.158475
Gambol II: Mare and Foal,Robert David Lasus,1992,Mural/Public Art,39.982700,-75.213850
Gamekeeper's Night Dog,Victoria Davila,1989,Mural/Public Art,39.967200,-75.178900
Gatekeepers,Andrea Zemel,1997,Mural/Public Art,39.957350,-75.194225
General Anthony Wayne,John Gregory,1937,Mural/Public Art,39.964750,-75.180950
General Casimir Pulaski,Sidney Waugh,1947,Mural/Public Art,39.966850,-75.182400
General Friedrich von Steuben,Warren Wheelock,1947,Mural/Public Art,39.967250,-75.182900
General Galusha Pennypacker,Charles Grafly,1934,Mural/Public Art,39.958515,-75.169675
General George McClellan,Henry Jackson Ellicott,1891,Mural/Public Art,39.953250,-75.163650
General Nathanael Greene,Lewis Iselin,1960,Mural/Public Art,39.966835,-75.182925
General Richard Montgomery,J. Wallace Kelly,1946,Mural/Public Art,39.966650,-75.182675
General Tadeusz Kosciuszko,Marian Konieczny,1977,Mural/Public Art,39.956800,-75.169350
General Ulysses S. Grant,Daniel Chester French,1897,Mural/Public Art,39.980790,-75.197900
George and Meta Conor-Wood Memorial,Ahron Ben-Shmuel,1942,Mural/Public Art,39.981375,-75.205825
George Washington,Joseph Alexis Bailly,1869,Mural/Public Art,39.949050,-75.150000
Ghost Structures,"Venturi, Scott Brown (and Rauch)",1976,Mural/Public Art,39.949650,-75.146525
Giant Frog,Cornelia Van Auken Chapin,1941,Mural/Public Art,39.949600,-75.171675
"Giant Three-Way Plug, Scale A",Claes Oldenburg,1970,Mural/Public Art,39.966950,-75.181950
Gift,William G. Tucker,2005,Mural/Public Art,39.966950,-75.182275
Gift of the Winds,Joseph C. Bailey,1978,Mural/Public Art,39.950925,-75.147400
Giraffe,Harold Kimmelman,1973,Mural/Public Art,40.102750,-74.969450
Giraffe,Henry Mitchell,1955,Mural/Public Art,40.038910,-75.070400
Giraffes,Gecko Group,2013,Mural/Public Art,39.974775,-75.195125
Girard Avenue War Memorials,,2010,Mural/Public Art,39.974820,-75.186525
