title,artist,year,type,latitude,longitude
Drexel Building,Charles Zeller Klauder (Architect),1928,Whole Building,39.949625,-75.165850
Drexel Clock,,,Courtyard,39.954700,-75.186100
Drexel University Main Building Entrance,New York Architectural Terra-Cotta Company,1891,Entrance,39.953850,-75.187000
Driftwood,Harold Kimmelman,1981,Mural/Public Art,39.944550,-75.147375
Drunken Satyr,,1905,Mural/Public Art,39.944300,-75.148100
Duck Girl,Paul Manship,1911,Mural/Public Art,39.949375,-75.171800
Duckrey School Mosaics,Barbara Gesshel,2005,South Entrances,39.985250,-75.159200
Dutch Settlements Plaque,,1909,Wall,39.951740,-75.163650
The Dying Lioness,Friedrich Wilhelm Wolff,1873,Mural/Public Art,39.974750,-75.195550
E.W. Clark Building Medallions,Clarence Zantzinger (Architect),1928,Walls,39.948650,-75.167675
Eagle,,1880,Roof,39.950430,-75.161040
Eagle,,2001,Wall,39.946950,-75.146290
Eagle,James Kiryakakis,1975,Gate,39.947900,-75.146350
Eagle,Claudius F. Le Grand and Sons,1797,Pediment,39.948050,-75.146250
Eagle,Rankin and Kellog (Architects),1933,Over the entrance,39.954390,-75.181950
Eagle,,1922,Tioga Station entrance,40.000140,-75.106450
Eagle,,1835,Gazebo roof,39.966970,-75.184625
Eagles,Adolph Alexander Weinman,1903,Bridge columns,39.954400,-75.181090
Earth and Moon,Ken Clark,1976,Mural/Public Art,40.091810,-75.020700
Earth Sculpture,Bernard Brenner,1967,Wall,40.008750,-75.098050
"Earth, Air, Fire, Water",Christopher T. Ray,1972,5 metal sculptured gates,39.944400,-75.144850
East Germantown World War Memorial,,1923,Mural/Public Art,40.052065,-75.157900
Eastwick Farmpark,Rosalie Sherman,1983,Mural/Public Art,39.89407,-75.246725
Ed Snider,Chad Fisher,2017,Mural/Public Art,39.902050,-75.172695
Edgar Fahs Smith,R. Tait McKenzie,1925,Mural/Public Art,39.951610,-75.192175
Eight Figures on a Piazza,Arlene Love,1986,Over the Spruce Street entrance,39.947000,-75.165525
Elemental Intervals,Bill Freeland,1986,On the wall,39.942960,-75.159500
Elfreth's Alley Sign,,,Mural/Public Art,39.952825,-75.143020
Eli Kirk Price Fountain,Augustus Ernest D'Ambly (Architect and Engineer),1969,Mural/Public Art,39.963900,-75.179625
Elk Head,Francis G. Caldwell (Architect),1904,Wall,39.954120,-75.161625
Ellen Phillips Samuel Memorial Fountain,Vincent Kling/Kling Lindquist Partnership/KlingStubbins (Architects),1969,Plaza,39.954250,-75.165650
Ellen's Bicycle,Isaiah Zagar,2011,Wall,39.943260,-75.162810
Eltanin,Bathsheba Grossman,1992,On top of the wall,39.952650,-75.189875
Emancipation Proclamation Fountain,Gerd Utescher,1964,Courtyard,39.952850,-75.165450
Engine 14 Gargoyles,John Molitor (Architect),1927,Front wall,40.017000,-75.081340
Engine Company 1 Memorial Plaque,,,Mural/Public Art,39.942290,-75.165525
Entrance Pillars,Darling Rosario,1995,Entrance posts,39.983225,-75.133850
